DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
1.325E-05,29
1.33E-05,29
1.335E-05,29
1.34E-05,29
1.345E-05,29
1.35E-05,29
1.355E-05,29
1.36E-05,29
1.365E-05,29
1.37E-05,29
1.375E-05,29
1.38E-05,29
1.385E-05,29
1.39E-05,29
1.395E-05,29
1.4E-05,29
1.405E-05,29
1.41E-05,29
1.415E-05,29
1.42E-05,29
1.425E-05,29
1.43E-05,29
1.435E-05,29
1.44E-05,29
1.445E-05,29
1.45E-05,29
1.455E-05,29
1.46E-05,29
1.465E-05,29
1.47E-05,29
1.475E-05,29
1.48E-05,29
1.485E-05,29
1.49E-05,29
1.495E-05,29
1.5E-05,29
1.505E-05,29
1.50999999999999E-05,29
1.515E-05,29
1.52E-05,29
1.525E-05,29
1.53E-05,29
1.535E-05,29
1.54E-05,29
1.545E-05,29
1.55E-05,29
1.555E-05,29
1.56E-05,29
1.565E-05,29
1.57E-05,29
1.575E-05,29
1.58E-05,29
1.585E-05,29
1.59E-05,29
1.595E-05,29
1.6E-05,29
1.605E-05,29
1.61E-05,29
1.615E-05,29
1.62E-05,29
1.625E-05,29
1.63E-05,29
1.635E-05,29
1.64E-05,29
1.645E-05,29
1.65E-05,29
1.655E-05,29
1.66E-05,29
1.665E-05,29
1.67E-05,29
1.675E-05,29
1.68E-05,28
1.685E-05,28
1.69E-05,28
1.695E-05,28
1.7E-05,28
1.705E-05,28
1.71E-05,28
1.715E-05,28
1.72E-05,28
1.725E-05,28
1.73E-05,28
1.735E-05,28
1.74E-05,28
1.745E-05,28
1.75E-05,28
1.755E-05,28
1.76E-05,28
1.765E-05,28
1.77E-05,28
1.775E-05,28
1.78E-05,28
1.785E-05,28
1.79E-05,28
1.795E-05,28
1.8E-05,28
1.805E-05,28
1.81E-05,28
1.815E-05,28
1.82E-05,28
1.825E-05,28
1.83E-05,28
1.835E-05,28
1.84E-05,28
1.845E-05,28
1.85E-05,27.5319698234164
1.855E-05,27
1.86E-05,26
1.865E-05,26
1.87E-05,26
1.875E-05,26
1.88E-05,26
1.885E-05,26
1.89E-05,26
1.895E-05,26
1.9E-05,26
1.905E-05,26
1.91E-05,26
1.91500000000001E-05,26
1.92000000000001E-05,26
1.92500000000001E-05,26
1.93000000000001E-05,26
1.93500000000001E-05,26
1.94000000000001E-05,26
1.94500000000001E-05,26
1.95000000000001E-05,26
1.95500000000001E-05,26
1.96000000000001E-05,26
1.96500000000001E-05,26
1.97000000000001E-05,26
1.97500000000001E-05,26
1.98000000000001E-05,26
1.98500000000001E-05,26
1.99000000000001E-05,26
1.99500000000001E-05,25.8945308788133
2.00000000000001E-05,25
2.00500000000001E-05,24
2.01000000000001E-05,24
2.01500000000001E-05,24
2.02000000000001E-05,24
2.02500000000001E-05,24
2.03000000000001E-05,24
2.03500000000001E-05,24
2.04000000000001E-05,24
2.04500000000001E-05,24
2.05000000000001E-05,24
2.05500000000001E-05,24
2.06000000000001E-05,24
2.06500000000001E-05,24
2.07000000000001E-05,24
2.07500000000001E-05,24
2.08000000000001E-05,24
2.08500000000001E-05,24
2.09000000000001E-05,24
2.09500000000001E-05,24
2.10000000000001E-05,24
2.10500000000001E-05,24
2.11000000000001E-05,24
2.11500000000001E-05,24
2.12000000000001E-05,24
2.12500000000001E-05,23
2.13000000000001E-05,22
2.13500000000001E-05,22
2.14000000000001E-05,22
2.14500000000001E-05,22
2.15000000000001E-05,22
2.15500000000001E-05,22
2.16000000000001E-05,22
2.16500000000001E-05,22
2.17000000000001E-05,22
2.17500000000001E-05,22
2.18000000000001E-05,22
2.18500000000001E-05,22
