DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
1.76E-05,14
1.77E-05,14
1.77E-05,14
1.78E-05,14
1.78E-05,14
1.79E-05,14
1.79E-05,14
1.80E-05,14
1.80E-05,14
1.81E-05,14
1.81E-05,14
1.82E-05,14
1.82E-05,14
1.83E-05,14
1.83E-05,14
1.84E-05,14
1.84E-05,14
1.85E-05,14
1.85E-05,14
1.86E-05,14
1.86E-05,14
1.87E-05,14
1.87E-05,13
1.88E-05,13
1.88E-05,13
1.89E-05,13
1.89E-05,13
1.90E-05,13
1.90E-05,13
1.91E-05,13
1.91E-05,13
1.92E-05,13
1.92E-05,13
1.93E-05,13
1.93E-05,13
1.94E-05,13
1.94E-05,13
1.95E-05,13
1.95E-05,13
1.96E-05,13
1.96E-05,13
1.97E-05,13
1.97E-05,13
1.98E-05,13
1.98E-05,13
1.99E-05,13
1.99E-05,13
2.00E-05,13
2.00E-05,13
2.01E-05,13
2.01E-05,13
2.02E-05,12
2.02E-05,12
2.03E-05,12
2.03E-05,12
2.04E-05,12
2.04E-05,12
2.05E-05,12
2.05E-05,12
2.06E-05,12
2.06E-05,12
2.07E-05,12
2.07E-05,12
2.08E-05,12
2.08E-05,12
2.09E-05,12
2.09E-05,12
2.10E-05,12
2.10E-05,12
2.11E-05,12
2.11E-05,12
2.12E-05,12
2.12E-05,12
2.13E-05,12
2.13E-05,12
2.14E-05,12
2.14E-05,11
2.15E-05,11
2.15E-05,11
2.16E-05,11
2.16E-05,11
2.17E-05,11
2.17E-05,11
2.18E-05,11
2.18E-05,11
2.19E-05,11
2.19E-05,11
2.20E-05,11
2.20E-05,11
2.21E-05,11
2.21E-05,11
2.22E-05,11
2.22E-05,11
2.23E-05,11
2.23E-05,11
2.24E-05,11
2.24E-05,11
2.25E-05,11
2.25E-05,11
2.26E-05,10
2.26E-05,10
2.27E-05,10
2.27E-05,10
2.28E-05,10
2.28E-05,10
2.29E-05,10
2.29E-05,10
2.30E-05,10
2.30E-05,10
2.31E-05,10
2.31E-05,10
2.32E-05,10
2.32E-05,10
2.33E-05,10
2.33E-05,10
2.34E-05,10
2.34E-05,10
2.35E-05,10
2.35E-05,10
2.36E-05,10
2.36E-05,10
2.37E-05,9
2.37E-05,9
2.38E-05,9
2.38E-05,9
2.39E-05,9
2.39E-05,9
2.40E-05,9
2.40E-05,9
2.41E-05,9
2.41E-05,9
2.42E-05,9
2.42E-05,9
2.43E-05,9
2.43E-05,9
2.44E-05,9
2.44E-05,9
2.45E-05,9
2.45E-05,9
2.46E-05,9
2.46E-05,9
2.47E-05,9
2.47E-05,8
2.48E-05,8
2.48E-05,8
2.49E-05,8
2.49E-05,8
2.50E-05,8
2.50E-05,8
2.51E-05,8
2.51E-05,8
2.52E-05,8
2.52E-05,8
2.53E-05,8
2.53E-05,8
2.54E-05,8
2.54E-05,8
2.55E-05,8
2.55E-05,8
2.56E-05,8
2.56E-05,8
2.57E-05,8
2.57E-05,8
2.58E-05,7
2.58E-05,7
2.59E-05,7
2.59E-05,7
2.60E-05,7
2.60E-05,7
2.61E-05,7
2.61E-05,7
2.62E-05,7
2.62E-05,7
2.63E-05,7
2.63E-05,7
2.64E-05,7
2.64E-05,7
2.65E-05,7
2.65E-05,7
2.66E-05,7
2.66E-05,7
2.67E-05,7
2.67E-05,7
2.68E-05,7
2.68E-05,6
2.69E-05,6
2.69E-05,6
2.70E-05,6
2.70E-05,6
2.71E-05,6
2.71E-05,6
2.72E-05,6
2.72E-05,6
2.73E-05,6
2.73E-05,6
2.74E-05,6
2.74E-05,6
2.75E-05,6
2.75E-05,6
2.76E-05,6
2.76E-05,6
2.77E-05,6
2.77E-05,6
2.78E-05,6
2.78E-05,6
2.79E-05,5
2.79E-05,5
2.80E-05,5
2.80E-05,5
2.81E-05,5
2.81E-05,5
2.82E-05,5
2.82E-05,5
2.83E-05,5
2.83E-05,5
2.84E-05,5
2.84E-05,5
2.85E-05,5
2.85E-05,5
2.86E-05,5
2.86E-05,5
2.87E-05,5
2.87E-05,5
2.88E-05,5
2.88E-05,5
2.89E-05,5
2.89E-05,5
2.90E-05,4
2.90E-05,4
2.91E-05,4
2.91E-05,4
2.92E-05,4
2.92E-05,4
2.93E-05,4
2.93E-05,4
2.94E-05,4
2.94E-05,4
2.95E-05,4
2.95E-05,4
2.96E-05,4
2.96E-05,4
2.97E-05,4
2.97E-05,4
2.98E-05,4
2.98E-05,4
2.99E-05,4
2.99E-05,4
3.00E-05,4
3.00E-05,4
3.01E-05,4
3.01E-05,3
3.02E-05,3
3.02E-05,3
3.03E-05,3
3.03E-05,3
3.04E-05,3
3.04E-05,3
3.05E-05,3
3.05E-05,3
3.06E-05,3
3.06E-05,3
3.07E-05,3
