DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
2.47500000000002E-05,0
2.48000000000002E-05,15
2.48500000000002E-05,0
2.49000000000002E-05,15
2.49500000000002E-05,0
2.50000000000002E-05,15
2.50500000000002E-05,0
2.51000000000002E-05,15
2.51500000000002E-05,0
2.52000000000002E-05,15
2.52500000000002E-05,0
2.53000000000002E-05,15
2.53500000000002E-05,0
2.54000000000002E-05,15
2.54500000000002E-05,0
2.55000000000002E-05,15
2.55500000000002E-05,0
2.56000000000002E-05,15
2.56500000000002E-05,0
2.57000000000002E-05,15
2.57500000000002E-05,0
2.58000000000002E-05,15
2.58500000000002E-05,0
2.59000000000002E-05,15
2.59500000000002E-05,0
2.60000000000002E-05,15
2.60500000000002E-05,0
2.61000000000002E-05,15
2.61500000000002E-05,0
2.62000000000002E-05,15
2.62500000000002E-05,0
2.63000000000002E-05,15
2.63500000000002E-05,0
2.64000000000002E-05,15
2.64500000000002E-05,0
2.65000000000002E-05,15
2.65500000000002E-05,0
2.66000000000002E-05,15
2.66500000000002E-05,0
2.67000000000002E-05,15
2.67500000000002E-05,0
2.68000000000002E-05,15
2.68500000000002E-05,0
2.69000000000002E-05,15
2.69500000000002E-05,0
2.70000000000002E-05,15
2.70500000000002E-05,0
2.71000000000002E-05,15
2.71500000000002E-05,0
2.72000000000002E-05,14
2.72500000000002E-05,1
2.73000000000002E-05,14
2.73500000000002E-05,1
2.74000000000002E-05,14
2.74500000000002E-05,2
2.75000000000002E-05,13
2.75500000000003E-05,2
2.76000000000002E-05,13
2.76500000000002E-05,3
2.77000000000003E-05,12
2.77500000000003E-05,3
2.78000000000003E-05,12
2.78500000000003E-05,4
2.79000000000003E-05,11
2.79500000000003E-05,4
2.80000000000003E-05,11
2.80500000000003E-05,5
2.81000000000003E-05,10
2.81500000000003E-05,5
2.82000000000003E-05,10
2.82500000000003E-05,6
2.83000000000003E-05,9
2.83500000000003E-05,6
2.84000000000003E-05,9
2.84500000000003E-05,7
2.85000000000003E-05,8
2.85500000000003E-05,7
2.86000000000003E-05,7
2.86500000000003E-05,8
2.87000000000003E-05,7
2.87500000000003E-05,9
2.88000000000003E-05,6
2.88500000000003E-05,9
2.89000000000003E-05,6
2.89500000000003E-05,10
